IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.19.147.14,163,195,178,0
104.19.164.64,163,197,178,0
104.19.203.5,164,196,178,0
104.19.83.232,163,203,178,0
104.19.200.253,163,195,178,0
104.19.208.227,168,191,178,0
104.18.205.38,172,184,178,0
104.19.211.64,160,216,178,0
104.18.214.82,165,198,178,0
104.19.222.7,162,226,178,0
162.159.11.78,162,197,179,0
162.159.13.192,167,195,179,0
104.19.70.49,159,219,179,0
104.19.85.205,162,203,179,0
104.19.187.190,165,220,179,0
172.64.42.229,159,213,179,0
198.41.214.187,161,189,179,0
104.18.218.255,163,214,180,0
104.19.172.90,168,212,180,0
104.19.119.35,156,232,180,0
104.18.235.137,163,206,180,0
162.159.239.255,162,208,180,0
172.64.158.203,166,192,180,0
172.66.44.208,167,196,180,0
198.41.206.217,171,191,180,0
104.19.92.41,165,201,180,0
172.64.153.47,162,209,180,0
104.19.146.4,167,193,181,0
104.18.234.143,170,188,181,0
104.19.230.105,170,196,181,0
104.19.10.193,164,187,181,0
172.64.88.107,165,201,181,0
104.19.113.121,161,207,181,0
104.19.36.33,163,195,181,0
162.159.138.34,163,202,181,0
172.64.50.213,158,204,181,0
162.159.40.160,163,229,181,0
172.66.45.76,164,192,181,0
172.64.41.239,166,196,181,0
198.41.208.117,169,197,182,0
104.18.236.224,173,192,182,0
172.64.91.88,163,222,182,0
104.19.40.151,144,374,182,0
172.64.147.215,169,200,183,0
172.64.83.248,167,203,183,0
104.19.1.221,147,365,183,0
104.19.34.246,145,376,183,0
104.19.231.100,165,208,183,0
104.19.12.46,154,372,183,0
104.19.217.238,173,201,183,0
162.159.18.128,165,206,184,0
104.18.232.206,146,367,184,0
162.159.194.92,167,208,184,0
190.93.245.14,165,218,184,0
104.19.93.21,165,236,184,0
104.18.231.239,146,371,184,0
104.19.210.138,178,190,184,0
162.159.19.210,163,225,184,0
104.19.77.94,155,253,184,0
104.19.149.5,161,216,184,0
104.19.175.39,167,210,184,0
104.18.250.216,147,369,184,0
104.19.43.167,174,196,184,0
104.19.238.211,165,204,184,0
104.19.11.66,176,196,184,0
104.19.25.202,175,195,185,0
104.19.4.206,149,372,185,0
104.19.30.93,173,200,185,0
172.64.230.237,175,198,185,0
162.159.0.199,166,213,185,0
185.146.173.89,154,210,186,0
104.19.104.244,163,205,186,0
104.19.228.25,168,201,187,0
104.19.49.164,162,216,187,0
104.19.199.218,174,204,187,0
104.18.251.224,152,407,187,0
172.64.85.109,173,209,187,0
104.18.227.32,157,208,187,0
162.159.128.126,175,199,188,0
104.19.76.119,170,229,188,0
104.19.162.60,175,207,188,0
104.19.102.249,167,209,188,0
104.19.60.153,163,243,188,0
104.19.29.162,156,374,189,0
104.19.46.49,168,205,189,0
172.64.48.169,175,216,189,0
104.18.223.206,153,211,189,0
104.19.7.159,156,373,189,0
198.41.197.16,174,203,190,0
104.19.207.83,179,201,190,0
162.159.142.165,174,206,191,0
104.19.35.8,152,351,191,0
104.19.32.36,165,350,191,0
104.19.38.75,152,410,191,0
104.19.73.219,180,207,191,0
198.41.221.71,177,233,191,0
104.19.226.110,182,206,191,0
104.19.3.170,175,206,191,0
172.64.152.31,182,214,192,0
104.19.15.0,156,396,192,0
173.245.49.139,165,215,192,0
104.18.226.86,161,212,192,0
198.41.198.32,156,214,192,0
104.19.16.255,157,388,193,0
198.41.200.155,167,216,193,0
104.18.244.21,152,372,193,0
104.19.107.42,180,207,193,0
104.19.123.21,169,211,193,0
104.19.209.163,178,207,193,0
104.18.220.52,155,406,194,0
104.18.241.51,165,214,194,0
104.19.19.213,165,209,194,0
104.19.6.202,153,395,194,0
162.159.196.9,185,205,194,0
190.93.244.66,165,214,195,0
104.19.117.137,162,214,195,0
104.19.9.20,165,384,196,0
104.19.45.245,157,387,196,0
104.18.238.99,161,214,196,0
104.18.242.115,158,210,196,0
104.19.39.172,163,373,196,0
104.19.18.218,159,215,196,0
104.18.217.136,176,210,197,0
104.19.26.40,179,215,197,0
104.19.47.174,175,251,197,0
104.19.105.126,166,214,198,0
104.19.112.142,179,212,198,0
104.19.22.47,163,215,198,0
172.66.2.185,184,212,198,0
104.19.122.182,165,212,198,0
104.18.230.247,164,375,199,0
173.245.58.122,174,219,199,0
104.18.202.227,162,383,199,0
104.19.72.92,183,214,199,0
162.159.32.96,174,215,200,0
104.19.21.101,162,406,200,0
104.19.5.8,184,210,201,0
141.101.123.25,155,225,202,0
198.41.202.246,173,212,203,0
104.18.245.3,167,380,203,0
104.19.121.92,193,211,204,0
104.19.23.141,168,407,204,0
104.18.253.12,171,399,205,0
104.19.108.213,192,214,205,0
104.19.20.227,169,401,206,0
104.18.203.204,176,380,206,0
104.19.111.209,188,233,207,0
104.19.42.222,156,405,208,0
104.18.221.240,163,375,209,0
104.18.211.80,175,380,209,0
104.18.224.157,151,391,210,0
104.18.209.64,153,392,212,0
104.18.225.49,176,410,214,0
104.18.229.205,162,405,216,0
104.18.207.127,174,387,216,0
104.18.247.58,159,405,216,0
104.19.0.192,158,402,217,0
104.19.59.38,145,185,159,10
104.19.195.16,145,175,159,10
104.19.227.44,149,182,161,10
104.19.51.113,143,198,162,10
104.18.204.49,154,177,162,10
172.64.80.84,150,174,163,10
162.159.7.46,152,189,163,10
172.64.150.9,155,180,164,10
104.19.235.88,156,189,165,10
104.19.148.80,153,187,166,10
198.41.205.118,156,184,167,10
104.19.99.213,154,188,168,10
104.19.193.241,159,201,169,10
104.19.223.119,152,183,169,10
104.19.116.123,160,191,170,10
104.19.14.5,152,206,171,10
104.19.212.44,160,186,173,10
162.159.15.179,168,194,175,10
104.19.24.146,162,193,176,10
198.41.199.140,162,202,176,10
104.19.168.168,166,197,177,10
104.18.254.82,161,197,177,10
104.19.71.246,163,192,178,10
162.159.143.5,165,186,178,10
104.19.37.4,145,379,190,10
173.245.59.100,175,208,190,10
162.159.48.107,181,207,192,10
104.18.210.69,155,381,195,10
104.19.13.196,160,377,198,10
104.19.28.228,168,352,198,10
162.159.49.59,175,224,198,10
104.18.222.76,173,210,202,10
104.18.243.209,150,393,204,10
104.19.50.115,145,170,155,20
104.19.44.71,155,182,168,20
104.18.248.76,167,378,206,20
