IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.25.2.170,219,243,229,0
104.22.16.127,215,245,229,0
104.25.44.41,224,232,229,0
104.24.55.102,215,250,229,0
104.25.247.178,223,235,229,0
172.67.125.101,221,241,229,0
104.27.65.161,220,242,229,0
104.20.211.113,216,259,229,0
104.20.183.226,216,246,229,0
104.20.209.76,215,245,229,0
172.67.60.70,216,248,229,0
104.25.123.154,219,255,229,0
104.25.224.27,218,251,229,0
104.27.84.27,216,248,229,0
104.20.205.241,219,237,229,0
104.20.12.11,220,247,229,0
104.20.231.185,218,253,229,0
104.20.221.243,221,240,229,0
104.20.62.196,221,240,229,0
104.24.51.94,217,245,229,0
172.67.72.22,214,243,229,0
104.25.241.169,219,244,229,0
172.67.103.193,216,244,229,0
104.27.33.38,216,256,229,0
104.24.36.46,210,254,229,0
172.67.92.29,218,245,229,0
104.25.252.211,220,240,229,0
172.67.76.22,218,245,229,0
104.22.69.233,222,237,229,0
104.22.45.218,223,242,230,0
104.25.202.16,213,250,230,0
104.24.137.40,219,255,230,0
104.20.154.96,217,244,230,0
104.20.36.64,219,240,230,0
104.25.149.209,210,251,230,0
104.20.110.28,221,248,230,0
104.25.122.88,220,254,230,0
104.25.220.40,217,247,230,0
104.25.124.179,212,248,230,0
104.27.18.192,219,252,230,0
104.20.77.99,219,251,230,0
104.27.53.5,221,247,230,0
104.26.2.150,218,241,230,0
104.25.193.65,222,237,230,0
104.20.93.238,219,252,230,0
104.20.249.169,211,258,230,0
172.67.57.93,213,245,230,0
104.22.41.93,215,306,230,0
104.25.184.149,220,248,230,0
104.24.12.146,219,244,230,0
172.67.17.198,215,245,230,0
104.22.66.215,223,240,230,0
104.25.113.164,216,255,230,0
104.25.254.30,222,248,230,0
104.22.6.245,217,245,230,0
104.27.35.230,218,254,230,0
104.22.5.204,220,242,230,0
104.20.203.72,220,247,230,0
104.20.204.236,220,239,230,0
104.25.39.114,216,248,230,0
104.20.125.188,216,251,230,0
104.20.100.241,217,241,230,0
104.20.146.154,220,250,230,0
172.67.99.23,219,248,230,0
172.67.15.8,218,253,230,0
104.27.95.52,221,241,230,0
104.22.68.193,218,243,230,0
104.24.149.231,223,243,230,0
104.27.67.98,220,249,230,0
104.24.223.248,218,250,230,0
172.67.82.37,218,245,230,0
104.24.255.90,209,254,230,0
104.25.159.22,220,243,230,0
104.20.73.236,220,247,230,0
104.22.59.124,218,255,230,0
172.67.116.140,219,248,231,0
172.67.38.92,220,247,231,0
104.27.201.98,223,240,231,0
104.20.10.84,213,246,231,0
172.67.2.23,217,251,231,0
104.20.246.226,214,263,231,0
104.27.38.247,218,246,231,0
104.25.72.136,214,244,231,0
104.22.36.93,218,247,231,0
172.67.88.162,221,239,231,0
104.25.205.91,220,253,231,0
104.27.94.57,216,246,231,0
104.26.1.155,218,255,231,0
104.23.136.180,206,266,231,0
104.27.19.203,216,249,231,0
104.22.75.28,220,241,231,0
104.23.102.240,219,249,231,0
104.22.60.48,215,251,231,0
104.22.15.98,218,247,231,0
104.27.32.218,217,253,231,0
104.23.108.73,211,247,231,0
